month,game,trends_score
2021-06-01,vampire_survivors,0
2021-07-01,vampire_survivors,0
2021-08-01,vampire_survivors,0
2021-09-01,vampire_survivors,0
2021-10-01,vampire_survivors,0
2021-11-01,vampire_survivors,0
2021-12-01,vampire_survivors,0
2022-01-01,vampire_survivors,31
2022-02-01,vampire_survivors,87
2022-03-01,vampire_survivors,56
2022-04-01,vampire_survivors,77
2022-05-01,vampire_survivors,59
2022-06-01,vampire_survivors,41
2022-07-01,vampire_survivors,28
2022-08-01,vampire_survivors,29
2022-09-01,vampire_survivors,22
2022-10-01,vampire_survivors,34
2022-11-01,vampire_survivors,40
2022-12-01,vampire_survivors,91
2023-01-01,vampire_survivors,100
2023-02-01,vampire_survivors,59
2023-03-01,vampire_survivors,42
2023-04-01,vampire_survivors,56
2023-05-01,vampire_survivors,31
2023-06-01,vampire_survivors,29
2023-07-01,vampire_survivors,36
2023-08-01,vampire_survivors,68
2023-09-01,vampire_survivors,63
2023-10-01,vampire_survivors,49
2023-11-01,vampire_survivors,46
2023-12-01,vampire_survivors,57
